Number_Trees,Precision,Recall,F1_Score,Time
3,94.91,94.04,94.46,35.47965455055237
4,94.44,94.21,94.31,49.26961040496826
5,94.99,94.25,94.60,58.626272678375244
6,95.52,94.99,95.24,70.32382225990295
7,95.81,94.70,95.24,83.99564456939697
8,96.28,96.14,96.20,94.85700726509094
9,96.02,95.12,95.55,111.9814805984497
10,96.50,96.26,96.37,123.96024131774902
11,96.36,96.05,96.20,130.32373332977295
12,95.83,95.01,95.40,140.57290482521057
13,96.63,96.46,96.54,150.00150561332703
14,96.06,95.42,95.72,165.71876788139343
15,96.37,96.05,96.20,174.9822587966919
16,96.78,96.06,96.40,187.3574378490448
17,96.48,96.26,96.36,198.0259039402008
18,96.17,95.63,95.88,207.54575943946838
19,96.67,95.85,96.24,223.47839736938477
20,95.95,95.52,95.72,231.65424060821533
